bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
1,1,455,Furnished,All,"Landmark Garden, Kalyani Nagar, , Pune, Maharashtra",4,East,Vitrified,Yes,No,1,Yes,Yes,12,1,0,1,5 to 10 Year Old,0,0,0,1,0,0,Maintenance 1500/ ((one time fee,22000,65000,1500,22000
2,2,48.49,Unfurnished,Family Only,"Kumar Pebble Park, Hadapsar, , Pune, Maharashtra",1,West,Vitrified,Yes,Yes,1,Yes,Yes,11,2,0,2,0 to 1 Year Old,1,0,0,0,0,0,0,0,3,0,14000
2,2,850,Semifurnished,Family Only,"Shantikunj Society, Pradhikaran, , Pune, Maharashtra",3,No Direction,Not provided,Yes,No,1,None,None,0,1,0,2,5 to 10 Year Old,1,0,0,0,0,0,0,0,0,0,15000
2,1,500,Semifurnished,All,"Shinde Belleza Blue, Keshav Nagar, , Pune, Maharashtra",4,East,Marble,Yes,No,1,None,None,11,1,0,2,5 to 10 Year Old,0,1,0,0,0,0,0,12000,40000,0,12000
1,1,0,Unfurnished,Family Only,"Dhaval Windscape, Sasane Nagar, , Pune, Maharashtra",1,West,Vitrified,No,No,0,None,None,11,1,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,50000,0,11000
1,1,0,Semifurnished,All,"Kolte Patil I Ven Township, Hinjewadi, , Pune, Maharashtra",9,No Direction,Not provided,Yes,No,1,None,None,11,1,1,2,1 to 5 Year Old,1,0,0,0,0,0,Maintenance 1000/ (/ month,0,15000,1000,9999
2,2,0,Unfurnished,Bachelors (Men/Women),"jai ganesh vishwa Vishrantwadi, Vishrantwadi, , Pune, Maharashtra",3,West,Not provided,Yes,No,0,None,None,11,0,0,0,10+ Year Old,0,0,0,1,0,0,0,0,50000,0,25000
2,2,0,Semifurnished,All,"GK Atlanta, Wakad, , Pune, Maharashtra",2,East,Marble,Yes,No,1,Yes,Yes,11,1,0,1,0 to 1 Year Old,0,0,0,0,0,1,0,15000,40000,0,15000
3,3,0,Semifurnished,Family Only,"Nandan Prospera Gold, Baner, , Pune, Maharashtra",1,No Direction,Marble,Yes,No,2,None,None,11,1,0,2,0 to 1 Year Old,1,0,0,0,0,0,0,0,250000,0,58000
1,1,300,Furnished,All,"Udyog Nagar, , Pune, Maharashtra",0,North-West,Vitrified,Yes,No,1,None,None,0,1,0,0,10+ Year Old,1,0,0,0,0,0,0,0,10000,0,5000
1,2,0,Unfurnished,Family Only,"Lohegaon Wagholi road malwadi lane no 2b, , Pune, Maharashtra",0,North,Not provided,No,No,0,None,None,1,1,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,15000,0,6000
1,1,606,Unfurnished,Bachelors (Men Only),"Amit View Society, Dahanukar Colony, , Pune, Maharashtra",2,No Direction,Not provided,No,No,0,None,None,0,0,0,0,10+ Year Old,1,0,0,0,0,0,0,0,50000,0,15000
1,1,0,Semifurnished,All,"Sonu Dutta Apartment, Bhugaon, , Pune, Maharashtra",4,No Direction,Not provided,No,No,2,None,None,12,1,0,0,5 to 10 Year Old,1,0,0,0,0,0,Maintenance 300/ (/ month,0,20000,300,6000
2,2,750,Semifurnished,All,"Bramha Sky City, Dhanori, , Pune, Maharashtra",5,East,Vitrified,Yes,No,1,None,None,11,1,0,1,1 to 5 Year Old,1,0,0,0,0,0,0,17500,3,0,17500
2,2,1000,Unfurnished,Family Only,"Request, F C Road, , Pune, Maharashtra",2,East,Vitrified,Yes,Yes,1,None,None,0,0,1,2,5 to 10 Year Old,0,1,0,0,0,0,0,2,100000,0,26000
2,2,660,Unfurnished,All,"A P Akshay Galaxy, Yewalewadi, , Pune, Maharashtra",9,East,Vitrified,Yes,No,1,Yes,Yes,11,1,0,1,0 to 1 Year Old,0,0,0,1,0,0,Maintenance 1900/ (/ month,0,50000,1900,12000
2,2,621,Semifurnished,Family Only,"The Nook, Tathawade, , Pune, Maharashtra",5,East,Wood,Yes,No,1,None,None,11,1,0,1,1 to 5 Year Old,1,0,0,0,0,0,0,0,3,0,17000
1,2,0,Unfurnished,Family Only,"Viman Nagar, , Pune, Maharashtra",0,South-West,Not provided,No,No,1,None,None,0,0,1,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,0,0,14000
1,1,550,Unfurnished,All,"On Request, Manjari Budruk, , Pune, Maharashtra",1,West,Vitrified,No,No,1,None,None,0,0,1,0,0 to 1 Year Old,1,0,0,0,0,0,Maintenance 100/ (/ month,0,15000,100,6500
